"Most used conversation tags"

"Metric","View by","Segment by","Export date","Time Zone","Time period from","Time period to"
"New conversations","Conversation tag","None","2025-10-03","America/New_York","2025-08-25 00:00","2025-09-26 23:59"

"Conversation tag","New conversations"
"Free","3,086"
"Not tagged","628"
"Conversation Rating - High Score","208"
"District Premium","135"
"Teacher Premium","109"
"School Premium","68"
"Question: Manage classes","42"
"Question: My account","42"
"Question: Assign practice recommendation activities","34"
"Question: Manage activities","22"
"Refund","21"
"Question: Assign activities","15"
"Question: Manage Clever classes","15"
"Question: Manage Google classes","14"
"Question: View reports","13"
"Question: Sign up/Log in","13"
"Staggered release fix","13"
"Question: Assign Baseline Diagnostics","12"
"Question/Feedback: Quill Lessons","12"
"Question: Accessibility","11"
"Intl School","11"
"Question: Student view","10"
"Question: Diagnostics report","10"
"Conversation Rating - Low Score","8"
"Question: Pedagogical recommendation/progression","7"
"Question/Feedback: Quill Diagnostics","6"
"Diagnostic Insights","6"
"Question: Launch lessons","5"
"Question/Feedback: Student transfers","5"
"Question: Manage manually created classes","5"
"Question: ELL","4"
"Question: Assign Growth Diagnostics","4"
"Admin Question/Feedback: Purchase S/D Premium","4"
"Feedback: View reports","3"
"Admin Question/Feedback: View Premium Reports","3"
"Question: Quill tools","2"
"Question: Activity summary","2"
"Premium_School_Subscription","2"
"Question: Quill Premium","1"
"Feedback: Manage activities","1"
"Feedback: Quill tools","1"
"Feedback: Student view","1"
"Feedback: Accessibility","1"
"Feedback: Assign Baseline Diagnostics","1"
"Feedback: Activity analysis","1"
"Feedback: Diagnostics report","1"
"Question: Standards report","1"
"Question: Manage Canvas classes","1"
"Question/Feedback: Quill Proofreader","1"
"Question/Feedback: Quill R4E","1"
"Feedback: Assign practice recommendation activities","1"
"Feedback: Manage Google classes","1"
"Feedback: Assign Growth Diagnostics","1"
"Feedback: Quill scoring/grading","1"
"Questions/Feedback: Add student to existing assignment","1"
"Question: CollegeBoard","1"
